MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0.073450975,0.0,-0.22757205,-0.20270075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6654171,-0.5172837,1.0534073,0.8803283,0.0,0.0,0.0,0.0,0.0,0.53371143,1.065983,-0.23837602,0.0,0.0,0.0,0.0,0.0,0.6252314,0.0,-0.28898284,-0.94299644,-0.47229406,0.0,0.8930712,0.0,0.0,-0.8153331,1.1829267,-0.12036782,0.40960473,1.113672,-0.23973493,0.80007386,1.2313999,0.16585231,-0.2116843,0.7460588,0.92680144,0.0,-0.9513466,0.0,0.0,0.29635486,0.0,0.31569582,0.3605481,0.0,0.0,0.0,-0.749517,0.22614075,-0.35975835,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,-1.6032859,0.1374606,0.0,0.0,208500.0
-0.87087256,0.0,0.49004492,-0.08607692,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.064686224,2.1757977,0.15941463,-0.4270422,0.0,0.0,1.0,1.0,1.0,-0.5735595,-0.6877701,-0.23837602,1.0,0.0,0.0,1.0,1.0,1.2574145,0.0,-0.28898284,-0.63996416,0.51277053,0.0,0.8930712,0.0,0.0,0.28402218,-0.79608333,-0.12036782,-0.4921387,-0.8189936,3.9657354,0.80007386,-0.7585205,0.16585231,-0.2116843,-0.76895064,-0.31404713,0.0,0.6102776,1.0,0.0,0.23691846,0.0,0.31569582,-0.054572813,0.0,0.0,0.0,1.6308202,-0.70725995,-0.35975835,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,-0.49149784,-0.614762,0.0,0.0,181500.0
0.073450975,0.0,-0.08404866,0.08125292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6654171,-0.5172837,0.98718566,0.83190715,0.0,0.0,0.0,0.0,0.0,0.34163383,1.065983,-0.23837602,0.0,0.0,0.0,2.0,0.0,0.113906726,0.0,-0.28898284,-0.300749,-0.31701294,0.0,0.8930712,0.0,0.0,-0.6420358,1.2107347,-0.12036782,0.56257904,1.113672,-0.23973493,0.80007386,1.2313999,0.16585231,-0.2116843,0.7460588,-0.31404713,0.0,0.6102776,1.0,0.0,0.29195216,0.0,0.31569582,0.64358515,0.0,0.0,0.0,-0.749517,-0.06459062,-0.35975835,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,0.99088615,0.1374606,0.0,0.0,223500.0
0.30953187,0.0,-0.4667777,-0.09114752,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6654171,-0.5172837,-1.8603466,-0.717569,0.0,0.0,2.0,2.0,1.0,-0.5735595,-0.6877701,-0.23837602,2.0,1.0,1.0,0.0,1.0,-0.51362807,0.0,-0.28898284,-0.061036926,-0.7149208,0.0,-0.1488451,0.0,0.0,-0.5310171,0.9558272,-0.12036782,0.42369446,1.113672,-0.23973493,-1.0258002,-0.7585205,0.16585231,-0.2116843,0.7460588,0.30637714,0.0,0.6102776,2.0,1.0,0.28534812,1.0,1.6557926,0.8039727,0.0,0.0,0.0,-0.749517,-0.17170218,4.085249,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,-1.6032859,-1.3669846,0.0,1.0,140000.0
0.073450975,0.0,0.6814095,0.3865031,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.3955203,-0.5172837,0.9540748,0.73506486,0.0,0.0,0.0,0.0,0.0,1.40371,1.065983,-0.23837602,0.0,0.0,0.0,3.0,0.0,0.506697,0.0,-0.28898284,-0.17410865,0.22889726,0.0,0.8930712,0.0,0.0,-0.03278711,1.6440777,-0.12036782,1.391861,1.113672,-0.23973493,0.80007386,1.2313999,1.391643,-0.2116843,0.7460588,1.5472257,0.0,0.6102776,1.0,0.0,0.2897508,0.0,1.6557926,1.7191257,0.0,0.0,0.0,0.78412306,0.57807875,-0.35975835,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,2.1026742,0.1374606,0.0,0.0,250000.0
-0.1626299,0.0,0.7292506,0.37179837,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,-0.7947895,-0.5172837,0.7222989,0.49295923,0.0,0.0,0.0,0.0,1.0,-0.5735595,-0.6877701,-0.23837602,3.0,0.0,0.0,0.0,0.0,0.68566066,0.0,-0.28898284,-1.1374798,-0.6178701,0.0,0.8930712,0.0,0.0,-0.9777995,0.5155322,-0.12036782,-0.2908567,1.113672,-0.23973493,-1.0258002,1.2313999,-2.2857292,-0.2116843,-0.76895064,-0.9344714,0.0,-0.9513466,0.0,0.0,0.27434137,1.0,0.31569582,0.039772853,0.0,0.0,0.0,-0.43000868,-0.24821043,-0.35975835,10.783815,-0.27051347,-0.058095325,0.0,1.0,1.0,1.3212408,1.3614821,0.8896832,0.0,0.0,143000.0
-0.87087256,0.0,0.25083926,-0.036993504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.3955203,-0.5172837,1.0865182,0.9771705,0.0,0.0,0.0,0.0,2.0,0.47721803,1.065983,-0.23837602,0.0,2.0,0.0,3.0,0.0,2.1661777,0.0,-0.28898284,-0.5653368,1.541508,0.0,0.8930712,0.0,0.0,1.4537796,-0.79608333,-0.12036782,0.3773996,1.113672,-0.23973493,0.80007386,-0.7585205,0.16585231,-0.2116843,0.7460588,0.30637714,0.0,0.6102776,2.0,0.0,0.2985562,0.0,0.31569582,0.77566904,0.0,0.0,0.0,1.2873486,0.16493416,-0.35975835,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,0.62029016,-0.614762,0.0,0.0,307000.0
0.073450975,0.0,0.014023622,-0.006772719,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.6654171,0.38041008,0.060082108,-0.57230556,0.0,0.0,3.0,3.0,2.0,0.7822824,-0.6877701,-0.23837602,1.0,0.0,0.0,2.0,1.0,0.9808344,1.0,-0.09086788,-0.79374176,0.1366991,0.0,0.8930712,0.0,0.0,-0.13568243,1.4818637,-0.12036782,1.1744764,1.113672,-0.23973493,0.80007386,1.2313999,0.16585231,-0.2116843,-0.76895064,0.30637714,0.0,2.1719017,1.0,0.0,0.23031442,0.0,0.31569582,0.05864199,0.0,0.0,0.0,1.1275945,2.4142768,3.3662038,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,1.0,0.6167309,1.7320782,0.8896832,0.0,0.0,200000.0
-0.1626299,1.0,-0.8973479,-0.43899077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,0.6654171,-0.5172837,-1.3305732,-1.6859915,0.0,0.0,4.0,2.0,1.0,-0.5735595,-0.6877701,-0.23837602,2.0,1.0,0.0,0.0,2.0,-1.0156559,0.0,-0.28898284,0.87067413,-0.23937239,0.0,-0.1488451,0.0,1.0,-0.36584303,0.94655776,-0.12036782,0.5384252,-0.8189936,-0.23973493,0.80007386,-0.7585205,-1.0599384,4.320846,-0.76895064,0.92680144,1.0,2.1719017,1.0,1.0,0.13785781,1.0,0.31569582,-0.016834546,1.0,0.0,0.0,-0.030623227,-0.70725995,2.9903393,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,-0.86209387,0.1374606,0.0,1.0,129900.0
3.1425025,0.0,-0.94518906,-0.30715513,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,1.0,1.0,3.0,-0.7947895,0.38041008,-1.0656865,-1.6859915,0.0,0.0,1.0,1.0,1.0,-0.5735595,-0.6877701,-0.23837602,2.0,1.0,0.0,0.0,0.0,0.96224076,0.0,-0.28898284,-0.9656108,-0.14474794,0.0,0.8930712,0.0,0.0,-0.2169156,-0.79608333,-0.12036782,-0.8645104,1.113672,-0.23973493,-1.0258002,-0.7585205,-1.0599384,4.320846,-0.76895064,-0.9344714,0.0,2.1719017,1.0,0.0,0.15546858,0.0,-1.024401,-1.25748,2.0,0.0,0.0,-0.749517,-0.6460534,-0.35975835,-0.116461135,-0.27051347,-0.058095325,0.0,0.0,0.0,-0.08777894,-1.9738818,0.1374606,0.0,0.0,118000.0
